,congress_number,state,census,start,end,cd_num,population,percent_white,percent_black,percent_aapi,percent_aind,percent_hisp,percent_white_nh,percent_black_nh,percent_aapi_nh
118,115,NJ,2010,2017,2019,12,732658,58.19,17.94,14.43,0.33,15.64,50.71,17.14,14.35
119,116,NJ,2010,2019,2021,1,732658,70.0,17.18,4.56,0.27,11.57,65.69,16.27,4.51
120,116,NJ,2010,2019,2021,2,732658,74.02,13.19,3.62,0.47,14.39,67.66,12.29,3.57
121,116,NJ,2010,2019,2021,3,732658,81.52,10.72,3.36,0.19,6.55,77.81,10.22,3.32
122,116,NJ,2010,2019,2021,4,732657,84.61,6.7,3.8,0.18,9.51,78.99,6.33,3.76
123,116,NJ,2010,2019,2021,5,732658,80.61,4.68,9.14,0.23,11.02,74.03,4.23,9.07
124,116,NJ,2010,2019,2021,6,732657,62.03,10.27,16.9,0.36,19.64,51.99,9.37,16.8
125,116,NJ,2010,2019,2021,7,732658,82.84,4.18,8.2,0.13,10.63,75.68,3.92,8.15
126,116,NJ,2010,2019,2021,8,732658,57.45,11.14,8.08,0.75,52.97,27.82,8.87,7.92
127,116,NJ,2010,2019,2021,9,732658,59.28,11.38,12.09,0.52,33.93,42.47,9.85,11.94
128,116,NJ,2010,2019,2021,10,732658,29.08,53.42,6.54,0.39,17.67,21.42,51.69,6.44
129,116,NJ,2010,2019,2021,11,732658,83.3,3.65,8.75,0.14,8.74,77.5,3.41,8.69
130,116,NJ,2010,2019,2021,12,732658,58.19,17.94,14.43,0.33,15.64,50.71,17.14,14.35
131,117,NJ,2010,2021,2023,1,732658,70.0,17.18,4.56,0.27,11.57,65.69,16.27,4.51
132,117,NJ,2010,2021,2023,2,732658,74.02,13.19,3.62,0.47,14.39,67.66,12.29,3.57
133,117,NJ,2010,2021,2023,3,732658,81.52,10.72,3.36,0.19,6.55,77.81,10.22,3.32
134,117,NJ,2010,2021,2023,4,732657,84.61,6.7,3.8,0.18,9.51,78.99,6.33,3.76
135,117,NJ,2010,2021,2023,5,732658,80.61,4.68,9.14,0.23,11.02,74.03,4.23,9.07
136,117,NJ,2010,2021,2023,6,732657,62.03,10.27,16.9,0.36,19.64,51.99,9.37,16.8
137,117,NJ,2010,2021,2023,7,732658,82.84,4.18,8.2,0.13,10.63,75.68,3.92,8.15
138,117,NJ,2010,2021,2023,8,732658,57.45,11.14,8.08,0.75,52.97,27.82,8.87,7.92
139,117,NJ,2010,2021,2023,9,732658,59.28,11.38,12.09,0.52,33.93,42.47,9.85,11.94
140,117,NJ,2010,2021,2023,10,732658,29.08,53.42,6.54,0.39,17.67,21.42,51.69,6.44
141,117,NJ,2010,2021,2023,11,732658,83.3,3.65,8.75,0.14,8.74,77.5,3.41,8.69
142,117,NJ,2010,2021,2023,12,732658,58.19,17.94,14.43,0.33,15.64,50.71,17.14,14.35
143,118,NJ,2020,2023,2025,1,771744,61.9,16.9,5.38,0.4,14.94,59.53,15.94,5.32
144,118,NJ,2020,2023,2025,2,779056,66.53,11.89,3.83,0.6,17.36,63.58,11.13,3.75
145,118,NJ,2020,2023,2025,3,778024,65.32,12.76,8.61,0.3,11.34,63.28,12.27,8.54
146,118,NJ,2020,2023,2025,4,772969,82.54,3.48,2.59,0.33,10.29,80.46,3.26,2.55
147,118,NJ,2020,2023,2025,5,773218,61.86,5.65,15.99,0.39,16.23,59.2,5.21,15.89
148,118,NJ,2020,2023,2025,6,773768,45.41,11.16,19.38,0.62,24.55,41.77,10.44,19.27
149,118,NJ,2020,2023,2025,7,774294,73.1,5.08,8.35,0.24,12.18,70.78,4.83,8.28
150,118,NJ,2020,2023,2025,8,772366,31.73,8.93,11.95,1.13,51.04,24.88,7.76,11.8
151,118,NJ,2020,2023,2025,9,772060,43.49,9.02,9.2,1.08,41.57,38.25,8.02,9.03
152,118,NJ,2020,2023,2025,10,773536,21.51,50.04,6.44,0.55,21.38,18.81,48.54,6.33
153,118,NJ,2020,2023,2025,11,773263,64.48,6.46,11.93,0.33,16.5,61.65,6.1,11.84
154,118,NJ,2020,2023,2025,12,774696,42.41,16.21,19.55,0.64,21.48,39.85,15.58,19.47
155,115,PA,2010,2017,2019,1,705688,46.94,35.5,6.43,0.54,15.38,41.76,34.22,6.34
156,115,PA,2010,2017,2019,2,705688,30.35,59.85,4.72,0.33,5.41,28.58,58.93,4.68
157,115,PA,2010,2017,2019,3,705688,92.25,4.65,0.81,0.14,1.88,91.23,4.53,0.79
158,115,PA,2010,2017,2019,4,705687,85.44,7.8,1.93,0.22,6.0,82.9,7.34,1.91
159,115,PA,2010,2017,2019,5,705688,94.66,2.12,1.54,0.15,1.55,93.76,2.04,1.53
160,115,PA,2010,2017,2019,6,705688,88.47,4.31,3.8,0.15,4.77,85.89,4.05,3.77
161,115,PA,2010,2017,2019,7,705688,88.65,4.88,4.04,0.12,2.81,87.03,4.77,4.02
162,115,PA,2010,2017,2019,8,705688,89.01,3.48,4.2,0.19,4.21,86.74,3.33,4.17
163,115,PA,2010,2017,2019,9,705688,94.45,2.91,0.54,0.15,1.69,93.64,2.81,0.53
164,115,PA,2010,2017,2019,10,705687,93.3,3.3,0.79,0.2,3.38,91.42,3.08,0.77
165,115,PA,2010,2017,2019,11,705688,90.08,4.82,1.32,0.16,4.53,88.17,4.52,1.3
166,115,PA,2010,2017,2019,12,705688,93.84,3.1,1.48,0.1,1.12,93.09,3.06,1.47
167,115,PA,2010,2017,2019,13,705687,66.16,17.8,8.27,0.27,10.23,62.22,17.12,8.19
168,115,PA,2010,2017,2019,14,705688,72.51,21.71,2.53,0.18,1.84,71.57,21.47,2.51
169,115,PA,2010,2017,2019,15,705687,84.79,4.48,2.54,0.27,13.01,79.26,3.68,2.5
170,115,PA,2010,2017,2019,16,705688,81.09,6.61,1.82,0.33,16.16,74.7,5.68,1.77
171,115,PA,2010,2017,2019,17,705687,88.26,5.54,1.57,0.21,6.93,84.84,5.1,1.55
172,115,PA,2010,2017,2019,18,705688,94.36,2.37,1.67,0.09,1.08,93.66,2.34,1.66
173,116,PA,2010,2019,2021,1,705687,87.93,3.68,5.0,0.19,4.28,85.62,3.53,4.98
174,116,PA,2010,2019,2021,2,705688,51.51,26.78,6.68,0.63,21.84,44.18,25.17,6.57
175,116,PA,2010,2019,2021,3,705688,30.36,60.07,5.48,0.32,3.89,28.94,59.27,5.44
176,116,PA,2010,2019,2021,4,705687,81.86,8.98,5.46,0.15,4.24,79.77,8.76,5.43
177,116,PA,2010,2019,2021,5,705688,68.01,22.93,5.68,0.17,3.36,66.53,22.56,5.63
178,116,PA,2010,2019,2021,6,705688,81.76,6.55,3.24,0.26,12.86,76.36,5.91,3.2
179,116,PA,2010,2019,2021,7,705688,82.19,6.05,2.71,0.29,14.63,75.81,5.12,2.66
180,116,PA,2010,2019,2021,8,705687,88.41,5.16,1.36,0.22,7.67,84.86,4.66,1.33
181,116,PA,2010,2019,2021,9,705687,93.9,2.22,0.84,0.15,4.35,91.77,2.02,0.82
182,116,PA,2010,2019,2021,10,705688,81.19,10.69,2.77,0.22,6.32,78.56,10.13,2.73
183,116,PA,2010,2019,2021,11,705688,90.21,3.26,1.63,0.21,6.98,87.16,2.82,1.6
184,116,PA,2010,2019,2021,12,705688,94.51,2.1,1.39,0.18,1.89,93.46,1.98,1.37
185,116,PA,2010,2019,2021,13,705688,94.44,2.5,0.59,0.15,2.54,93.21,2.4,0.58
186,116,PA,2010,2019,2021,14,705688,94.38,3.21,0.64,0.11,0.96,93.8,3.17,0.64
187,116,PA,2010,2019,2021,15,705688,96.21,1.83,0.62,0.13,1.16,95.56,1.77,0.61
188,116,PA,2010,2019,2021,16,705687,92.04,4.73,0.85,0.16,1.97,90.97,4.6,0.84
189,116,PA,2010,2019,2021,17,705688,90.45,5.46,2.16,0.11,1.31,89.57,5.41,2.15
190,116,PA,2010,2019,2021,18,705688,75.25,19.01,2.89,0.16,1.72,74.34,18.8,2.87
191,117,PA,2010,2021,2023,1,705687,87.93,3.68,5.0,0.19,4.28,85.62,3.53,4.98
192,117,PA,2010,2021,2023,2,705688,51.51,26.78,6.68,0.63,21.84,44.18,25.17,6.57
193,117,PA,2010,2021,2023,3,705688,30.36,60.07,5.48,0.32,3.89,28.94,59.27,5.44
194,117,PA,2010,2021,2023,4,705687,81.86,8.98,5.46,0.15,4.24,79.77,8.76,5.43
195,117,PA,2010,2021,2023,5,705688,68.01,22.93,5.68,0.17,3.36,66.53,22.56,5.63
